Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Nancy Mulligan,3:00,Ed Sheeran,÷ (Deluxe),Pop,1,2,03/03/2017,2017,6,"18/03/2023, 6:16 AM","06/08/2020, 9:43 PM"
Nashe Si Chadh Gayi,4:05,"Vishal & Shekhar, Arijit Singh & Caralisa Monteiro",Befikre (Original Motion Picture Soundtrack),Bollywood,0,2,18/10/2016,2016,7,"07/09/2024, 7:38 AM","11/10/2022, 1:18 AM"
Nasty Letter,4:26,Otis Taylor,Banjo...,Blues,0,2,12/02/2023,2023,2,"19/07/2024, 8:09 AM","12/02/2024, 5:06 PM"
Natural,3:09,Imagine Dragons,Origins (Deluxe),Alternative,1,3,16/07/2018,2018,9,"23/01/2024, 10:37 AM","05/08/2020, 11:31 PM"
Nazm Nazm,3:47,Arko,Bareilly Ki Barfi (Original Motion Picture Soundtrack),Bollywood,0,7,31/07/2017,2017,11,"04/10/2024, 4:12 PM","13/07/2021, 12:08 PM"
Nazm Nazm Feat. Ayushmann Khurana,3:15,Ayushmann Khurana,Bareilly Ki Barfi (Original Motion Picture Soundtrack),Bollywood,1,11,11/08/2017,2017,17,"14/05/2024, 7:48 AM","14/08/2020, 9:59 PM"
Never Enough (feat. 50 Cent & Nate Dogg),2:40,Eminem,Encore,Hip-Hop/Rap,0,2,12/11/2004,2004,4,"04/07/2024, 6:51 AM","30/06/2023, 12:50 PM"
Never Love Again,2:58,Eminem,Music To Be Murdered By,Hip-Hop/Rap,1,1,17/01/2020,2020,4,"12/09/2023, 7:33 PM","28/01/2023, 6:02 PM"
New Face,3:10,PSY,PSY 8th 4X2=8,K-Pop,0,,10/05/2017,2017,1,,"04/09/2024, 7:15 PM"
New Flame (feat. Usher & Rick Ross),4:04,Chris Brown,X (Expanded Edition),R&B/Soul,1,1,30/06/2014,2014,9,"09/01/2024, 6:47 PM","07/08/2020, 12:53 AM"
New Love,3:17,Maroon 5,V (Deluxe),Pop,1,8,29/08/2014,2014,4,"09/07/2023, 9:33 AM","06/08/2020, 9:59 PM"
New Rush,3:49,Gin Wigmore,Blood to Bone (Deluxe),Alternative,1,2,20/04/2015,2015,5,"30/04/2021, 11:22 AM","05/08/2020, 11:33 PM"
New Truck,2:54,Dylan Scott,Livin' My Best Life,Country,0,2,23/07/2021,2021,5,"28/06/2024, 8:06 AM","14/01/2023, 9:20 PM"
The Next Episode (feat. Snoop Dogg),2:42,Dr. Dre,2001,Hip-Hop/Rap,1,14,16/11/1999,1999,9,"24/08/2024, 1:20 PM","12/02/2021, 2:58 PM"
Nice Guy,2:31,Eminem & Jessie Reyez,Kamikaze,Hip-Hop/Rap,1,3,31/08/2018,2018,9,"13/07/2023, 3:14 PM","06/08/2020, 12:22 AM"
Night Changes,3:47,One Direction,FOUR (The Ultimate Edition),Pop,1,7,17/11/2014,2014,12,"20/10/2023, 7:57 AM","06/08/2020, 8:49 PM"
The Night We Met (feat. Phoebe Bridgers),3:28,Lord Huron,13 Reasons Why (Season 2),Alternative,0,1,18/05/2018,2018,4,"17/03/2024, 8:03 AM","22/08/2022, 12:41 PM"
No Competition,3:26,Jass Manak,No Competition,Pop,2,17,19/08/2020,2020,3,"27/09/2024, 12:19 PM","04/05/2023, 1:53 PM"
No Love (feat. Lil Wayne),5:00,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,2,7,18/06/2010,2010,10,"11/02/2024, 8:09 AM","06/08/2020, 12:21 AM"
No Make Up (feat. Bohemia),3:30,Bilal Saeed,No Make Up (feat. Bohemia) - Single,Indian Pop,2,24,20/01/2017,2017,10,"12/06/2024, 7:28 AM","08/08/2020, 1:06 AM"
No Sleep,3:11,Wiz Khalifa,Rolling Papers,Hip-Hop/Rap,1,11,22/03/2011,2011,14,"10/04/2024, 8:57 AM","07/08/2020, 10:09 AM"
No Vaseline,5:15,Ice Cube,Death Certificate,Hip-Hop/Rap,0,,29/10/1991,1991,2,,"27/05/2024, 2:39 PM"
Nobody's Love,3:31,Maroon 5,JORDI,Pop,0,4,24/07/2020,2020,5,"08/01/2024, 5:28 PM","09/06/2022, 8:51 PM"
Nobody's Love,3:31,Maroon 5,Nobody's Love - Single,Pop,1,18,24/07/2020,2020,14,"18/04/2024, 9:50 AM","06/08/2020, 10:00 PM"
Normal,3:42,Eminem,Kamikaze,Hip-Hop/Rap,1,4,31/08/2018,2018,12,"03/08/2024, 7:57 AM","10/09/2020, 11:49 AM"
Not Afraid,4:08,Eminem,Recovery,Hip-Hop/Rap,0,,29/04/2010,2010,2,,"27/05/2024, 2:39 PM"
Not Afraid,4:08,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,1,4,29/04/2010,2010,5,"09/06/2024, 9:43 AM","06/08/2020, 12:21 AM"
"Not Alike (feat. Royce da 5'9"")",4:48,Eminem,Kamikaze,Hip-Hop/Rap,0,,31/08/2018,2018,,,"29/09/2024, 10:04 AM"
(Not Just) Knee Deep,4:29,Funkadelic,Straight Outta Compton (Music from the Motion Picture),Funk,0,,07/06/2013,2013,,,"10/06/2022, 11:07 AM"
Not Like Us,4:34,Kendrick Lamar,Not Like Us - Single,Hip-Hop/Rap,0,6,04/05/2024,2024,3,"29/09/2024, 9:50 AM","27/05/2024, 3:39 PM"
Nothin' On You (feat. Bruno Mars),4:28,B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Deluxe Version),Hip-Hop/Rap,1,7,15/12/2009,2009,6,"01/08/2024, 5:21 PM","28/09/2020, 12:57 AM"
"Nuthin' But A ""G"" Thang",3:58,Dr. Dre & Snoop Dogg,The Chronic,Hip-Hop/Rap,0,2,19/11/1992,1992,2,"22/05/2024, 7:34 AM","17/05/2023, 8:45 PM"
"Nuthin' But A ""G"" Thang (Mixed)",4:00,Dr. Dre & Snoop Dogg,Uncle Snoop’s “A Black Music Story”,Hip-Hop,0,1,19/11/1992,1992,9,"03/06/2024, 7:30 AM","12/04/2022, 11:38 AM"
O Sanam,3:43,Lucky Ali,Sunoh,Indian Pop,0,,01/01/1996,1996,,,"12/02/2024, 5:06 PM"
Ocean (feat. Khalid),3:36,Martin Garrix,Ocean (feat. Khalid) - Single,Dance,1,4,15/06/2018,2018,7,"11/06/2023, 11:39 AM","28/10/2020, 12:59 AM"
Offo,3:34,Aditi Singh Sharma & Amitabh Bhattacharya,2 States (Original Motion Picture Soundtrack),Bollywood,0,3,07/03/2014,2014,6,"08/07/2023, 8:05 AM","07/08/2020, 9:55 AM"
Old Me,3:07,5 Seconds of Summer,CALM,Pop,1,2,21/02/2020,2020,7,"24/09/2024, 9:42 AM","06/08/2020, 8:46 PM"
Old Money,2:08,AP Dhillon,Old Money - Single,Hip-Hop/Rap,1,11,09/08/2024,2024,1,"06/10/2024, 7:13 PM","29/08/2024, 5:12 PM"
On the Road Again,2:41,Willie Nelson,Bluegrass,Country,0,,15/09/2023,2023,7,,"12/02/2024, 5:06 PM"
On the Road Again,2:34,Willie Nelson,Willie Nelson The Collection,Country,0,3,01/08/1980,1980,6,"22/06/2024, 7:16 PM","03/03/2023, 7:49 PM"
On Top,3:03,Karan Aujla,On Top - Single,Indian Pop,0,,24/11/2022,2022,,,"06/10/2024, 4:18 PM"
One Call Away,3:14,Charlie Puth,Nine Track Mind,Pop,0,4,05/08/2015,2015,,"20/05/2024, 7:01 AM","30/04/2024, 9:16 PM"
One Love,3:26,Blue,Best of Blue,Pop,0,2,04/11/2002,2002,7,"20/05/2024, 7:14 AM","20/04/2024, 9:56 AM"
One Mississippi,3:34,Kane Brown,One Mississippi - Single,Country,0,5,20/08/2021,2021,16,"03/09/2023, 11:27 AM","12/04/2022, 11:49 AM"
One More Night,3:39,Maroon 5,Overexposed (Deluxe Version),Pop,1,6,18/06/2012,2012,4,"10/06/2024, 9:59 AM","06/08/2020, 9:59 PM"
One of Them Girls,3:09,Lee Brice,Hey World,Country,0,,10/04/2020,2020,1,,"18/07/2024, 10:14 PM"
One Thing Right,3:02,Marshmello & Kane Brown,One Thing Right - Single,Pop,1,8,21/06/2019,2019,9,"13/01/2024, 8:46 AM","05/08/2020, 11:02 PM"
One Thousand Miles,4:43,Yo Yo Honey Singh,Desi Kalakaar,Indian Pop,1,4,26/08/2014,2014,4,"19/06/2024, 9:05 AM","04/05/2023, 12:52 PM"
Only,4:28,RY X,Dawn,Alternative,0,,04/03/2016,2016,2,,"12/02/2024, 6:06 PM"
Options (feat. Stephen Marley),4:00,Pitbull,Climate Change,Pop,1,3,21/03/2017,2017,9,"18/07/2024, 4:19 PM","05/08/2020, 11:25 PM"
Outfit,2:35,Guru Randhawa & Preet Hundal,Outfit - Single,Indian Pop,1,4,23/11/2015,2015,8,"12/01/2023, 11:32 AM","07/08/2020, 12:45 AM"
Overdrive,2:28,Post Malone,AUSTIN (Bonus),Pop,0,15,14/07/2023,2023,4,"28/09/2024, 7:40 AM","19/08/2023, 9:06 AM"
Paisa Hai Toh,3:09,"Sachin-Jigar, Vishal Dadlani, Mellow D & Jigar Saraiya",Farzi (Original Motion Picture Soundtrack) - Single,Bollywood,0,27,27/01/2023,2023,5,"19/08/2024, 8:45 AM","25/12/2023, 6:12 AM"
Palat Meri Jaan,3:44,Ali Zafar,Total Siyapaa (Original Motion Picture Soundtrack),Bollywood,0,5,13/02/2014,2014,9,"27/08/2024, 5:13 PM","08/10/2021, 4:10 PM"
Paradise,4:38,Coldplay,Mylo Xyloto,Alternative,1,3,12/09/2011,2011,12,"28/01/2024, 9:26 AM","06/08/2020, 9:02 PM"
Paris,3:42,The Chainsmokers,Memories...Do Not Open,Dance,1,2,13/01/2017,2017,10,"20/04/2023, 7:55 AM","05/08/2020, 11:30 PM"
Party All Night,4:43,Yo Yo Honey Singh,Boss (Original Motion Picture Soundtrack),Bollywood,0,,09/09/2013,2013,,,"25/09/2024, 4:31 PM"
Patola,3:28,Guru Randhawa & Bohemia,Patola - Single,Punjabi Pop,1,13,03/04/2015,2015,12,"06/10/2024, 8:00 AM","07/08/2020, 1:45 AM"
Payphone (feat. Wiz Khalifa),3:51,Maroon 5,Overexposed (Deluxe Version),Pop,1,11,16/04/2012,2012,10,"11/03/2024, 1:54 PM","06/08/2020, 9:59 PM"
Peaches,3:09,Diljit Dosanjh,Drive Thru - EP,Punjabi Pop,0,3,15/07/2022,2022,3,"01/10/2024, 8:04 AM","31/01/2024, 10:54 AM"
Pehla Nasha,4:51,Udit Narayan & Sadhana Sargam,Jo Jeeta Wohi Sikandar (Original Motion Picture Soundtrack),Bollywood,2,17,22/05/1992,1992,5,"11/02/2024, 7:30 AM","31/08/2020, 11:55 AM"
Pehli Mohabbat,4:05,Dharshan Raval,Raw Star,Indian,0,11,,2020,2,"29/04/2024, 9:32 AM","07/07/2023, 5:26 PM"
Perfect,4:23,Ed Sheeran,÷ (Deluxe),Pop,1,10,03/03/2017,2017,11,"20/08/2024, 8:47 AM","06/08/2020, 9:43 PM"
Perfect,3:50,One Direction,Made In The A.M.,Pop,2,5,13/11/2015,2015,11,"22/09/2024, 10:59 AM","22/10/2022, 12:51 AM"
Phir Se,3:59,Vishal Mishra,Never Kiss Your Best Friend (Music from the Original Web Series),TV Soundtrack,0,4,26/04/2022,2022,10,"04/02/2024, 11:10 AM","23/09/2022, 11:13 PM"
"Phir Se (From ""Never Kiss Your Best Friend Season 2"")",3:59,Vishal Mishra,"Phir Se (From ""Never Kiss Your Best Friend Season 2"") - Single",TV Soundtrack,0,4,26/04/2022,2022,11,"10/11/2023, 10:18 AM","23/09/2022, 11:10 PM"
Phir Se Ud Chala,4:29,Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,1,,30/09/2011,2011,3,"07/06/2024, 3:51 PM","11/06/2024, 7:26 AM"
Photo,2:57,Karan Sehmbi,Luka Chuppi (Original Motion Picture Soundtrack),Bollywood,1,10,12/02/2019,2019,15,"26/05/2023, 1:18 PM","07/08/2020, 12:45 AM"
Photograph,4:19,Ed Sheeran,x (Deluxe Edition),Pop,1,13,20/06/2014,2014,8,"16/07/2023, 1:28 PM","06/08/2020, 8:44 PM"
Physical (feat. Jennifer Lopez),3:49,Enrique Iglesias,S** AND LOVE,Latin,1,5,14/03/2014,2014,8,"07/09/2024, 9:03 AM","06/08/2020, 12:27 AM"
PILLOWTALK,3:23,ZAYN,Mind of Mine (Deluxe Edition),Pop,1,3,29/01/2016,2016,11,"13/12/2023, 5:55 AM","06/08/2020, 8:48 PM"
Pink Gulaabi Sky,3:20,"Pritam, Shashwat singh & Jonita Gandhi",The Sky Is Pink (Original Motion Picture Soundtrack) - EP,Bollywood,0,4,01/10/2019,2019,5,"29/06/2023, 11:55 AM","18/11/2021, 4:31 PM"
Piya O Re Piya,4:53,Atif Aslam & Shreya Ghoshal,Tere Naal Love Ho Gaya (Original Motion Picture Soundtrack),Bollywood,1,6,23/01/2012,2012,6,"08/07/2023, 8:01 AM","20/12/2020, 9:04 AM"
Play It Again,3:47,Luke Bryan,Crash My Party (Deluxe),Country,2,10,13/08/2013,2013,5,"22/09/2024, 7:01 AM","20/12/2020, 11:57 AM"
Poker Face,3:57,Lady Gaga,The Fame Monster (Deluxe Edition),Pop,0,3,19/08/2008,2008,7,"20/04/2024, 10:36 AM","22/08/2022, 1:41 PM"
Post Malone (feat. RANI),2:54,Sam Feldt,Magnets EP,Dance,1,3,24/05/2019,2019,4,"16/11/2023, 8:13 AM","15/04/2023, 3:37 AM"
Postcards,4:47,James Blunt,Moon Landing,Pop,1,4,18/10/2013,2013,6,"28/06/2024, 6:43 AM","06/08/2020, 9:44 PM"
Pour Me A Drink (feat. Blake Shelton),3:15,Post Malone,F-1 Trillion,Country,0,2,21/06/2024,2024,2,"22/07/2024, 8:35 AM","21/06/2024, 11:32 AM"
POV (feat. Rubi Rose),2:06,Wiz Khalifa,The Saga of Wiz Khalifa (Deluxe),Hip-Hop/Rap,1,8,02/10/2020,2020,10,"23/08/2024, 3:58 PM","28/10/2020, 1:54 AM"
The Power to Hold You,3:05,Christopher C. Porter,Billboard Acoustic Pop,Pop,0,,23/10/2018,2018,2,,"13/03/2023, 10:02 AM"
Prabhu Ji,3:36,Palash Sen,Sharnaagat,Worldwide,1,,20/11/2012,2012,,,"31/08/2020, 11:48 AM"
Prada,3:02,Jass Manak,Prada - Single,Regional Indian,1,10,13/06/2018,2018,17,"25/05/2024, 8:16 AM","08/08/2020, 2:03 AM"
Pray For Me,3:31,"The Weeknd, Kendrick Lamar",Black Panther The Album Music From And Inspired By,Hip-Hop/Rap,1,7,02/02/2018,2018,15,"27/04/2024, 9:53 AM","10/09/2020, 10:52 AM"
Prince Akeem (feat. Wiz Khalifa),3:51,Mike Posner,Keep Going,Pop,1,10,06/08/2019,2019,8,"11/03/2024, 1:00 PM","05/08/2020, 11:29 PM"
Proper Patola (feat. Badshah),2:31,Diljit Dosanjh,Proper Patola (feat. Badshah) - Single,Punjabi Pop,1,10,09/08/2013,2013,10,"27/09/2024, 11:30 AM","08/08/2020, 2:05 AM"
Psycho (feat. Ty Dolla $ign),3:41,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,2,31,23/02/2018,2018,23,"28/08/2024, 4:41 PM","05/08/2020, 11:15 PM"
Punya Paap,3:01,DIVINE,Punya Paap,Hip-Hop/Rap,1,5,23/09/2020,2020,5,"24/03/2023, 8:59 AM","23/01/2023, 8:59 PM"
Purpose,3:30,Justin Bieber,Purpose (Deluxe),Pop,1,13,13/11/2015,2015,11,"04/06/2024, 8:15 AM","06/08/2020, 8:37 PM"
"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",3:36,"Pritam, Arijit Singh & Amitabh Bhattacharya","Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"") - Single",Bollywood,2,4,10/02/2023,2023,5,"13/08/2024, 10:26 AM","25/02/2023, 5:13 AM"
Pyar Ho,4:12,Vishal Mishra & Sunidhi Chauhan,Munna Michael (Original Motion Picture Soundtrack),Bollywood,0,2,22/06/2017,2017,3,"31/10/2023, 6:18 PM","23/09/2022, 11:11 PM"
Qaafirana,5:42,Arijit Singh & Nikhita Gandhi,Kedarnath (Original Motion Picture Soundtrack),Bollywood,0,13,20/11/2018,2018,11,"14/10/2023, 5:51 AM","06/08/2020, 9:04 PM"
Qismat (feat. Sargun Mehta),4:04,Ammy Virk,Qismat - Single (feat. Sargun Mehta) - Single,Punjabi Pop,0,4,17/07/2017,2017,11,"26/08/2023, 7:00 AM","08/08/2020, 1:05 AM"
R.O.O.T.S.,3:45,Flo Rida,R.O.O.T.S.,Hip-Hop/Rap,1,1,31/03/2009,2009,11,"03/09/2024, 9:38 AM","05/08/2020, 11:23 PM"
Raabta (Title Track),4:57,"Pritam, Arijit Singh & Nikhita Gandhi",Raabta (Original Motion Picture Soundtrack),Bollywood,0,5,27/04/2017,2017,8,"22/10/2023, 7:00 AM","10/10/2021, 10:30 AM"
RAASHAH,3:41,Raftaar,HARD DRIVE Vol. 1,Hip-Hop/Rap,2,79,16/11/2022,2022,8,"03/10/2024, 8:06 AM","23/01/2023, 10:04 PM"
Raataan Lambiyan,3:50,"Tanishk Bagchi, Jubin Nautiyal & Asees Kaur",Shershaah (Original Motion Picture Soundtrack),Bollywood,2,10,01/09/2021,2021,8,"30/09/2023, 7:04 AM","21/08/2021, 12:50 AM"
Rabba,4:53,Mohit Chauhan,Heropanti (Original Motion Picture Soundtrack),Bollywood,1,7,21/04/2014,2014,11,"06/12/2023, 6:57 AM","01/10/2020, 7:35 PM"
Rabba Mehr Kari,3:29,Darshan Raval,Rabba Mehr Kari - Single,Indian Pop,0,14,18/02/2021,2021,23,"24/09/2024, 7:13 AM","26/02/2021, 9:17 AM"
Rain Over Me (feat. Marc Anthony),3:52,Pitbull,Planet Pit (Deluxe Version),Pop,0,1,08/06/2011,2011,6,"18/09/2023, 6:28 PM","16/05/2023, 11:58 AM"
Rang Jo Lagyo,4:56,"Atif Aslam, Shreya Ghoshal & Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),Bollywood,0,2,15/05/2013,2013,14,"27/09/2024, 8:09 AM","14/12/2020, 2:52 AM"
"Rangisari (From ""Jugjugg Jeeyo"")",3:43,Kanishk Seth & Kavita Seth,"Rangisari (From ""Jugjugg Jeeyo"") - Single",Bollywood,0,8,06/06/2022,2022,5,"19/01/2024, 4:47 PM","09/06/2022, 5:45 PM"
Ranjha,3:49,Jasleen Royal & B. Praak,Shershaah (Original Motion Picture Soundtrack),Bollywood,0,10,05/08/2021,2021,5,"14/11/2023, 5:30 AM","21/08/2021, 12:49 AM"
Rap God,6:04,Eminem,The Marshall Mathers LP2 (Deluxe),Hip-Hop/Rap,1,2,05/11/2013,2013,13,"18/12/2023, 5:51 AM","05/08/2020, 11:21 PM"
Rap God,6:04,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,1,15/10/2013,2013,1,"06/07/2024, 1:19 PM","22/06/2024, 7:08 AM"
Ready to See My Baby,2:30,Big Girl,The High Road,Americana,0,,24/03/2023,2023,,,"01/08/2023, 9:21 AM"
The Real Slim Shady,4:45,Eminem,Curtain Call: The Hits (Deluxe Edition),Hip-Hop/Rap,0,,15/04/2000,2000,2,,"22/06/2024, 7:08 AM"
The Real Slim Shady,4:44,Eminem,The Marshall Mathers LP,Hip-Hop/Rap,0,,18/04/2000,2000,,,"27/05/2024, 2:39 PM"
The Recipe (feat. Dr. Dre),5:53,Kendrick Lamar,"good kid, m.A.A.d city (Deluxe)",Hip-Hop/Rap,0,,03/04/2012,2012,3,,"27/05/2024, 2:39 PM"
Remember The Name,3:50,Fort Minor,Petrified/Remember The Name (DMD Single) - EP,Hip-Hop/Rap,0,5,20/09/2005,2005,1,"19/07/2024, 8:21 AM","20/09/2023, 7:17 PM"
Remember The Name (feat. Eminem & 50 Cent),3:28,Ed Sheeran,No.6 Collaborations Project,Pop,1,22,12/07/2019,2019,16,"21/08/2023, 7:12 PM","06/08/2020, 9:43 PM"
Reminder,3:39,The Weeknd,Starboy,R&B/Soul,1,33,25/11/2016,2016,4,"09/09/2023, 6:44 AM","06/08/2023, 2:37 PM"
Rescue Me,2:39,OneRepublic,Rescue Me - Single,Pop,1,1,17/05/2019,2019,5,"04/10/2023, 11:56 AM","06/08/2020, 9:01 PM"
Rest of Our Life,3:05,Jason Derulo,Tattoos,Pop,1,12,20/09/2013,2013,14,"04/08/2024, 8:25 PM","07/08/2020, 2:04 AM"
"Revolution (feat. Faustix, ImanoS & Kai)",4:24,Diplo,Revolution - EP,Dance,1,8,08/10/2013,2013,9,"19/09/2024, 10:07 AM","08/08/2020, 12:39 AM"
Rewrite the Stars,3:37,Zac Efron & Zendaya,The Greatest Showman (Original Motion Picture Soundtrack),Soundtrack,1,13,17/11/2017,2017,14,"15/07/2023, 7:45 AM","22/09/2020, 12:52 AM"
Rich & Sad,3:26,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,0,2,27/04/2018,2018,4,"15/11/2023, 12:00 PM","11/11/2023, 6:46 AM"
Richer Than I Ever Been,2:53,Rick Ross,Richer Than I Ever Been,Rap,0,,10/12/2021,2021,4,,"27/05/2024, 2:39 PM"
Ride,3:35,twenty one pilots,Blurryface,Alternative,1,6,12/05/2015,2015,12,"04/08/2024, 8:01 PM","08/08/2020, 9:40 AM"
Rider,3:03,DIVINE & Lisa Mishra,Punya Paap,Hip-Hop/Rap,1,11,03/12/2020,2020,5,"17/03/2024, 8:21 AM","23/01/2023, 8:59 PM"
Ridin' (feat. Krayzie Bone),5:03,Chamillionaire,The Sound of Revenge,Hip-Hop/Rap,0,,12/11/2005,2005,1,,"12/02/2024, 5:06 PM"
Right Round (feat. Ke$ha),3:28,Flo Rida,R.O.O.T.S.,Hip-Hop/Rap,1,6,27/01/2009,2009,8,"26/11/2023, 6:49 AM","07/08/2020, 12:34 AM"
Riptide,3:22,Vance Joy,Dream Your Life Away,Singer/Songwriter,0,1,22/03/2013,2013,3,"14/08/2024, 11:23 AM","03/03/2023, 7:49 PM"
Rise (feat. Skylar Grey),3:55,David Guetta,Listen,Dance,1,7,21/11/2014,2014,2,"04/09/2024, 7:14 AM","08/02/2024, 8:52 PM"
River,3:11,Charlie Puth,Nine Track Mind Deluxe,Pop,0,,29/01/2016,2016,,,"30/04/2024, 9:17 PM"
River (feat. Ed Sheeran),3:41,Eminem,Revival,Hip-Hop/Rap,1,13,15/12/2017,2017,15,"28/05/2024, 9:03 AM","05/08/2020, 11:22 PM"
Roar,3:44,Katy Perry,PRISM (Deluxe Version),Pop,1,2,10/08/2013,2013,9,"16/04/2024, 3:12 PM","06/08/2020, 9:03 PM"
Rock or Bust,3:03,AC/DC,Rock or Bust,Rock,0,10,17/11/2014,2014,11,"12/01/2023, 12:33 PM","06/09/2020, 11:00 AM"
rockstar (feat. 21 Savage),3:38,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,1,12,15/09/2017,2017,19,"20/07/2024, 7:18 AM","05/08/2020, 11:15 PM"
Roke Na Ruke Naina,4:38,Arijit Singh,Badrinath Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,0,2,21/02/2017,2017,15,"22/11/2022, 8:03 PM","07/08/2020, 9:15 AM"
Roots (feat. Raja Kumari),2:41,DIVINE,Roots (feat. Raja Kumari) - Single,Hip-Hop/Rap,1,17,27/07/2018,2018,13,"31/01/2024, 11:21 AM","07/08/2020, 10:05 AM"
Rubicon Drill,3:09,"Laddi Chahal, Parmish Verma & Gurlej Akhtar",Forever - EP,Punjabi Pop,0,6,16/11/2022,2022,1,"06/10/2024, 7:30 PM","04/05/2024, 10:33 AM"
Rude,3:45,MAGIC!,Don't Kill the Magic,Pop,1,6,11/10/2013,2013,12,"31/08/2024, 12:41 PM","13/08/2020, 6:15 PM"
Run,2:46,Lucy Spraggan,Choices,Pop,0,1,26/02/2021,2021,7,"31/08/2024, 1:44 PM","17/09/2023, 9:48 PM"
Run (feat. Lady Leshurr),2:50,Tiggs Da Author,Run (feat. Lady Leshurr) - Single,R&B/Soul,1,9,12/01/2016,2016,7,"31/08/2024, 12:47 PM","07/08/2020, 10:56 AM"
Runnin',3:47,David Dallas,Falling Into Place,Hip-Hop/Rap,0,19,01/01/2004,2004,8,"27/09/2024, 12:33 PM","12/06/2022, 10:35 PM"
Running Up That Hill (A Deal With God) [2018 Remaster],5:01,Kate Bush,Hounds of Love (2018 Remaster),Pop,0,1,05/08/1985,1985,10,"30/07/2024, 9:25 AM","07/08/2022, 2:18 AM"
Saadda Haq,6:03,Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,1,,30/09/2011,2011,4,,"11/06/2024, 8:27 AM"
Saajna,4:14,Akriti Kakar & Palash Sen,Saajna - Single,Indian Pop,0,,22/05/2019,2019,,,"31/08/2020, 11:48 AM"
Sab Fade Jange,4:07,Parmish Verma,Sab Fade Jange - Single,Punjabi Pop,1,6,04/12/2018,2018,16,"06/10/2024, 7:17 PM","18/12/2020, 1:57 AM"
Sacchi Mohabbat,4:16,"Amit Trivedi, Shellee, Shahid Mallya & Jonita Gandhi",Manmarziyaan (Original Motion Picture Soundtrack),Bollywood,0,3,16/08/2018,2018,7,"06/08/2023, 8:04 AM","04/04/2022, 3:10 AM"
Sad,3:14,Maroon 5,Overexposed (Deluxe Version),Pop,1,3,20/06/2012,2012,7,"12/07/2023, 9:43 AM","06/08/2020, 10:00 PM"
Saibo,3:15,"Shreya Ghoshal, Tochi Raina & Sachin-Jigar",Shor In the City (Original Motion Picture Soundtrack),Bollywood,1,25,25/03/2011,2011,12,"03/06/2024, 8:41 AM","06/08/2020, 9:05 PM"
Saint-Tropez,2:31,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,0,4,06/09/2019,2019,3,"16/11/2023, 8:45 AM","11/11/2023, 6:46 AM"
Sakhiyaan,2:59,Maninder Buttar,Sakhiyaan - Single,Punjabi Pop,1,22,21/10/2018,2018,12,"04/10/2024, 8:25 AM","08/08/2020, 2:04 AM"
Same Beef,4:50,Bohemia & Sidhu Moose Wala,Same Beef - Single,Hip-Hop/Rap,1,22,19/08/2019,2019,11,"21/08/2023, 6:00 PM","08/08/2020, 1:02 AM"
Same Bitches (feat. G-Eazy & YG),3:32,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,1,5,27/04/2018,2018,22,"04/08/2024, 7:20 AM","14/08/2020, 12:45 PM"
Samjhawan,4:29,"Jawad Ahmed, Sharib-Toshi, Arijit Singh & Shreya Ghoshal",Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,1,3,15/06/2014,2014,9,"08/10/2023, 6:00 AM","07/08/2020, 12:44 AM"
Sanu Ek Pal Chain,3:30,Rahat Fateh Ali Khan,Raid (Original Motion Picture Soundtrack),Bollywood,1,3,12/02/2018,2018,12,"22/11/2022, 9:39 PM","21/09/2020, 12:10 PM"
Satisfya,3:00,Imran Khan,Satisfya - Single,Hip-Hop/Rap,1,23,01/01/2013,2013,9,"17/06/2024, 9:02 AM","08/08/2020, 1:04 AM"
Saturday Nights REMIX,3:31,Khalid & Kane Brown,Saturday Nights REMIX - Single,R&B/Soul,1,15,11/01/2019,2019,12,"04/10/2024, 4:16 PM","05/11/2020, 2:46 PM"
Saturday Saturday,3:31,"Sharib Toshi, Badshah, Indeep Bakshi & Akriti Kakkar",Humpty Sharma Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,0,1,10/06/2014,2014,6,"09/12/2022, 8:49 PM","11/10/2022, 1:19 AM"
Say My Name (feat. Xzibit),4:30,Eminem,Raw & Uncut,Hip-Hop/Rap,0,,09/10/2006,2006,1,,"22/06/2024, 7:07 AM"
